Id,LotFrontage,LotArea,Street,Alley,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageArea,GarageCond,PavedDrive,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
224,70,10500,Pave,NA,AllPub,FR2,NAmes,Norm,Norm,1Fam,1Story,4,6,1971,Gable,CompShg,HdBoard,0,TA,TA,CBlock,TA,TA,864,GasA,864,0,0,864,1,2,1,TA,4,Typ,0,Detchd,576,TA,Y,0,NA,NA,NA,0,3,2009,WD,Abnorml,97000
225,103,13472,Pave,NA,AllPub,Inside,NridgHt,Norm,Norm,1Fam,1Story,10,5,2003,Hip,CompShg,VinylSd,922,Ex,TA,PConc,Ex,TA,2392,GasA,2392,0,0,2392,2,3,1,Ex,8,Typ,1,Attchd,968,TA,Y,0,NA,NA,NA,0,6,2009,WD,Normal,386250
226,21,1680,Pave,NA,AllPub,Inside,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,Gable,CompShg,HdBoard,142,TA,TA,CBlock,TA,TA,630,GasA,630,672,0,1302,2,3,1,TA,6,Typ,0,Detchd,280,TA,Y,0,NA,NA,NA,0,5,2009,COD,Abnorml,112000
227,82,9950,Pave,NA,AllPub,Inside,NoRidge,Norm,Norm,1Fam,2Story,7,5,1995,Gable,CompShg,VinylSd,290,Gd,TA,PConc,Gd,TA,1203,GasA,1214,1306,0,2520,2,4,1,Gd,9,Typ,1,Attchd,721,TA,Y,0,NA,NA,NA,0,6,2007,WD,Abnorml,290000
228,21,1869,Pave,NA,AllPub,Inside,BrDale,Norm,Norm,Twnhs,2Story,6,6,1970,Gable,CompShg,HdBoard,127,TA,TA,CBlock,TA,TA,483,GasA,483,504,0,987,1,2,1,TA,5,Typ,0,Detchd,280,TA,Y,0,NA,NA,NA,0,9,2008,WD,Normal,106000
229,70,8521,Pave,NA,AllPub,FR2,Sawyer,Feedr,Norm,1Fam,1Story,5,5,1967,Gable,CompShg,HdBoard,0,TA,TA,CBlock,TA,TA,912,GasA,912,0,0,912,1,3,1,TA,5,Typ,1,Detchd,336,TA,Y,0,NA,MnPrv,NA,0,5,2010,WD,Normal,125000
230,43,3182,Pave,NA,AllPub,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,Gable,CompShg,VinylSd,16,Gd,TA,PConc,Gd,TA,1373,GasA,1555,0,0,1555,2,2,1,Gd,7,Typ,1,Attchd,430,TA,Y,0,NA,NA,NA,0,5,2009,WD,Normal,192500
231,73,8760,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,6,6,1959,Hip,CompShg,MetalSd,220,TA,TA,CBlock,TA,TA,1194,GasA,1194,0,0,1194,1,3,1,TA,6,Typ,0,Attchd,312,TA,Y,0,NA,NA,NA,0,4,2010,WD,Normal,148000
232,174,15138,Pave,NA,AllPub,Inside,NoRidge,Norm,Norm,1Fam,2Story,8,5,1995,Gable,CompShg,VinylSd,506,Gd,TA,PConc,Gd,TA,1462,GasA,1490,1304,0,2794,2,4,1,Ex,9,Typ,1,Attchd,810,TA,Y,0,NA,NA,NA,0,7,2009,WD,Normal,403000
233,21,1680,Pave,NA,AllPub,Inside,BrDale,Norm,Norm,Twnhs,2Story,6,5,1972,Gable,CompShg,HdBoard,297,TA,TA,CBlock,TA,TA,483,GasA,483,504,0,987,1,2,1,TA,5,Typ,1,Attchd,288,TA,Y,0,NA,NA,NA,0,6,2006,WD,Normal,94500
234,75,10650,Pave,NA,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,5,6,1976,Gable,CompShg,HdBoard,0,TA,TA,CBlock,TA,Gd,894,GasA,894,0,0,894,1,3,1,TA,5,Typ,0,Attchd,308,TA,Y,0,NA,MnPrv,NA,0,2,2010,WD,Normal,128200
235,NA,7851,Pave,NA,AllPub,Inside,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,Gable,CompShg,VinylSd,NA,Gd,TA,PConc,Gd,TA,860,GasA,860,1100,0,1960,2,4,1,Gd,8,Typ,2,BuiltIn,440,TA,Y,0,NA,NA,NA,0,5,2010,WD,Normal,216500
236,21,1680,Pave,NA,AllPub,Inside,BrDale,Norm,Norm,TwnhsE,2Story,6,3,1971,Gable,CompShg,HdBoard,604,TA,TA,CBlock,TA,TA,483,GasA,483,504,0,987,1,2,1,TA,5,Typ,0,Detchd,264,TA,Y,0,NA,NA,NA,0,8,2008,WD,Normal,89500
237,65,8773,Pave,NA,AllPub,FR2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,Gable,CompShg,VinylSd,98,Gd,TA,PConc,Gd,TA,1414,GasA,1414,0,0,1414,2,3,1,Gd,6,Typ,0,Attchd,494,TA,Y,0,NA,NA,NA,0,5,2010,WD,Normal,185500
238,NA,9453,Pave,NA,AllPub,CulDSac,SawyerW,RRNe,Norm,1Fam,2Story,7,7,1993,Gable,CompShg,HdBoard,0,Gd,TA,PConc,Gd,TA,996,GasA,1014,730,0,1744,2,3,1,Gd,7,Typ,0,Attchd,457,TA,Y,0,NA,NA,NA,0,2,2010,WD,Normal,194500
239,93,12030,Pave,NA,AllPub,Inside,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Hip,CompShg,VinylSd,254,Ex,TA,PConc,Ex,TA,1694,GasA,1694,0,0,1694,2,3,1,Gd,7,Typ,0,Attchd,818,TA,Y,0,NA,NA,NA,0,12,2007,New,Partial,318000
240,52,8741,Pave,NA,AllPub,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1945,Gable,CompShg,VinylSd,0,TA,TA,CBlock,TA,Fa,735,GasA,798,689,0,1487,1,3,1,TA,7,Typ,1,Detchd,220,TA,Y,0,NA,MnPrv,NA,0,4,2010,WD,Normal,113000
241,75,9000,Pave,NA,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2008,Gable,CompShg,VinylSd,36,Gd,TA,PConc,Gd,TA,1566,GasA,1566,0,0,1566,2,3,1,Gd,7,Typ,0,Attchd,750,TA,Y,0,NA,NA,NA,0,4,2010,WD,Normal,262500
242,40,3880,Pave,NA,AllPub,Inside,OldTown,Norm,Norm,1Fam,1Story,5,9,1945,Gable,CompShg,VinylSd,0,TA,Gd,CBlock,TA,TA,686,GasA,866,0,0,866,1,2,1,Gd,4,Typ,0,NA,0,NA,Y,0,NA,NA,NA,0,8,2007,WD,Normal,110500
243,63,5000,Pave,NA,AllPub,Corner,OldTown,Norm,Norm,1Fam,1.5Fin,5,4,1900,Gable,CompShg,Wd Sdng,0,TA,TA,BrkTil,TA,TA,540,GasA,889,551,0,1440,1,3,1,TA,6,Typ,0,Attchd,352,TA,Y,0,NA,NA,NA,0,4,2006,WD,Normal,79000
244,75,10762,Pave,NA,AllPub,Corner,SawyerW,Norm,Norm,TwnhsE,2Story,6,6,1980,Gable,CompShg,Plywood,0,TA,TA,CBlock,Gd,TA,626,GasA,626,591,0,1217,1,3,1,TA,6,Typ,1,Attchd,288,TA,Y,0,NA,NA,NA,0,4,2009,WD,Normal,120000
245,NA,8880,Pave,NA,AllPub,Inside,SawyerW,Norm,Norm,1Fam,2Story,7,5,1994,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Gd,TA,948,GasA,1222,888,0,2110,2,3,1,Gd,8,Typ,2,Attchd,463,TA,Y,0,NA,NA,NA,0,5,2010,WD,Normal,205000
246,80,10400,Pave,NA,AllPub,Inside,NWAmes,Norm,Norm,1Fam,1Story,7,5,1988,Gable,CompShg,Wd Sdng,102,TA,TA,CBlock,Gd,TA,1845,GasA,1872,0,0,1872,2,3,1,TA,6,Typ,1,Attchd,604,TA,Y,0,NA,NA,NA,0,6,2006,WD,Normal,241500
247,69,9142,Pave,Grvl,AllPub,Inside,OldTown,Norm,Norm,2fmCon,2Story,6,8,1910,Gable,CompShg,AsbShng,0,TA,Fa,Stone,Fa,TA,1020,GasA,908,1020,0,1928,2,4,2,Fa,9,Typ,0,Detchd,440,Po,Y,0,NA,NA,NA,0,4,2006,WD,Normal,137000
248,75,11310,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,1954,Hip,CompShg,Wd Sdng,0,TA,TA,CBlock,TA,TA,1367,GasA,1375,0,0,1375,1,2,1,TA,5,Typ,1,Attchd,451,TA,Y,0,NA,NA,NA,0,6,2006,WD,Normal,140000
249,72,11317,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,101,Gd,TA,PConc,Gd,TA,840,GasA,840,828,0,1668,2,3,1,Gd,8,Typ,0,Attchd,500,TA,Y,0,NA,NA,NA,0,9,2007,WD,Normal,180000
250,NA,159000,Pave,NA,AllPub,CulDSac,ClearCr,Norm,Norm,1Fam,1.5Fin,6,7,1958,Gable,CompShg,Wd Sdng,472,Gd,TA,CBlock,Gd,TA,1444,GasA,1444,700,0,2144,2,4,1,Gd,7,Typ,2,Attchd,389,TA,Y,0,NA,NA,Shed,500,6,2007,WD,Normal,277000
251,55,5350,Pave,NA,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1Story,3,2,1940,Gable,CompShg,Wd Sdng,0,TA,Po,CBlock,TA,TA,728,GasA,1306,0,0,1306,1,3,1,Fa,6,Mod,0,NA,0,NA,Y,0,NA,GdWo,Shed,450,5,2010,WD,Normal,76500
252,44,4750,Pave,NA,AllPub,Inside,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2006,Hip,CompShg,VinylSd,481,Gd,TA,PConc,Gd,TA,1573,GasA,1625,0,0,1625,2,2,1,Gd,5,Typ,1,Attchd,538,TA,Y,0,NA,NA,NA,0,12,2007,WD,Family,235000
253,65,8366,Pave,NA,AllPub,Inside,SawyerW,Norm,Norm,1Fam,2Story,6,5,2004,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Gd,TA,798,GasA,798,842,0,1640,2,3,1,Gd,6,Typ,0,Attchd,520,TA,Y,0,NA,NA,NA,0,12,2008,WD,Normal,173000
254,85,9350,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,SLvl,6,7,1964,Hip,CompShg,HdBoard,108,TA,TA,CBlock,Gd,TA,1302,GasA,1302,0,0,1302,2,3,1,Gd,7,Min1,0,Attchd,309,TA,Y,0,NA,MnPrv,NA,0,10,2007,CWD,Normal,158000
255,70,8400,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,Gable,CompShg,MetalSd,0,TA,Gd,CBlock,TA,TA,1314,GasA,1314,0,0,1314,1,3,1,TA,5,Typ,0,Attchd,294,TA,Y,0,NA,NA,NA,0,6,2010,WD,Normal,145000
256,66,8738,Pave,NA,AllPub,Inside,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,Gable,CompShg,VinylSd,302,Gd,TA,PConc,Gd,TA,975,GasA,1005,1286,0,2291,2,4,1,Gd,8,Typ,1,BuiltIn,429,TA,Y,0,NA,NA,NA,0,2,2006,WD,Normal,230000
257,64,8791,Pave,NA,AllPub,Inside,Somerst,Norm,Norm,1Fam,2Story,6,5,2003,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Gd,TA,864,GasA,864,864,0,1728,2,3,1,Gd,7,Typ,0,Attchd,673,TA,Y,0,NA,NA,NA,0,5,2008,WD,Normal,207500
258,68,8814,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,180,Gd,TA,PConc,Gd,TA,1604,GasA,1604,0,0,1604,2,3,1,Gd,8,Typ,1,Attchd,660,TA,Y,0,NA,NA,NA,0,3,2009,WD,Abnorml,220000
259,80,12435,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,172,Gd,TA,PConc,Gd,TA,963,GasA,963,829,0,1792,2,3,1,Gd,7,Typ,1,Attchd,564,TA,Y,0,NA,NA,NA,0,5,2008,WD,Normal,231500
260,70,12702,Pave,NA,AllPub,Inside,OldTown,Norm,Norm,1Fam,1Story,5,5,1956,Gable,CompShg,BrkFace,0,TA,TA,PConc,NA,NA,0,GasA,882,0,0,882,1,2,1,TA,4,Typ,0,Detchd,308,TA,Y,0,NA,NA,NA,0,12,2008,WD,Normal,97000
261,120,19296,Pave,NA,AllPub,Corner,NAmes,Artery,Norm,1Fam,SLvl,6,5,1962,Gable,CompShg,Wd Sdng,399,TA,TA,CBlock,TA,TA,1362,GasA,1382,0,0,1382,1,3,1,TA,6,Typ,1,Attchd,884,TA,Y,0,NA,GdWo,NA,0,5,2009,WD,Normal,176000
262,69,9588,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,8,5,2007,Gable,CompShg,CemntBd,270,Gd,TA,PConc,Ex,TA,1482,GasA,1482,1092,0,2574,2,3,1,Ex,10,Typ,1,BuiltIn,868,TA,Y,0,NA,NA,NA,0,11,2007,New,Partial,276000
263,88,8471,Pave,NA,AllPub,Corner,Sawyer,Norm,Norm,1Fam,SLvl,6,7,1977,Gable,CompShg,HdBoard,46,TA,TA,CBlock,Gd,Gd,506,GasA,1212,0,0,1212,1,3,1,TA,6,Typ,1,Attchd,492,TA,Y,0,NA,GdWo,NA,0,7,2006,WD,Normal,151000
264,50,5500,Pave,NA,AllPub,Corner,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1929,Gable,CompShg,Wd Sdng,0,TA,TA,BrkTil,TA,TA,926,GasA,926,0,390,1316,1,3,1,TA,6,Typ,0,Detchd,484,TA,Y,0,NA,NA,NA,0,4,2010,WD,Normal,130000
265,30,5232,Pave,Grvl,AllPub,Inside,OldTown,Artery,Norm,1Fam,1Story,5,5,1925,Gable,CompShg,Wd Sdng,0,TA,TA,BrkTil,Fa,TA,680,GasA,764,0,0,764,1,2,1,TA,4,Typ,0,Detchd,504,TA,N,0,NA,NA,NA,0,6,2008,WD,Normal,73000
266,78,12090,Pave,NA,AllPub,Inside,NWAmes,Norm,Norm,1Fam,1Story,6,6,1981,Gable,CompShg,MetalSd,210,TA,Gd,CBlock,Gd,TA,1422,GasA,1422,0,0,1422,2,3,1,Gd,7,Typ,1,Attchd,576,TA,Y,0,NA,GdPrv,NA,0,6,2008,WD,Normal,175500
267,70,11207,Pave,NA,AllPub,FR2,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,Gable,CompShg,VinylSd,0,TA,TA,PConc,Gd,TA,802,GasA,802,709,0,1511,2,3,1,TA,8,Typ,1,Attchd,413,TA,Y,0,NA,NA,NA,0,6,2006,WD,Normal,185000
268,60,8400,Pave,NA,AllPub,Inside,SWISU,Norm,Norm,1Fam,2.5Fin,5,8,1939,Gable,CompShg,Wd Sdng,0,TA,TA,PConc,TA,TA,720,GasA,1052,720,420,2192,2,4,1,Gd,8,Typ,1,Detchd,240,TA,Y,0,NA,NA,NA,0,7,2008,WD,Normal,179500
269,71,6900,Pave,NA,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,1Story,5,6,1940,Gable,CompShg,VinylSd,0,TA,TA,CBlock,TA,TA,740,GasA,778,0,0,778,1,2,1,TA,4,Typ,1,Detchd,924,Ex,Y,0,NA,NA,NA,0,2,2008,WD,Normal,120500
270,NA,7917,Pave,NA,AllPub,Corner,Edwards,Norm,Norm,1Fam,1Story,6,7,1976,Hip,CompShg,HdBoard,174,TA,Gd,CBlock,TA,Gd,1143,GasA,1113,0,0,1113,1,3,1,TA,6,Typ,1,Attchd,504,Gd,Y,0,NA,GdPrv,NA,0,5,2007,WD,Normal,148000
271,84,10728,Pave,NA,AllPub,Inside,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Gd,TA,1095,GasA,1095,844,0,1939,2,3,1,Gd,8,Typ,1,Attchd,1053,TA,Y,0,NA,NA,NA,0,8,2006,New,Partial,266000
272,73,39104,Pave,NA,AllPub,CulDSac,ClearCr,Norm,Norm,1Fam,1Story,7,7,1954,Flat,Membran,Plywood,0,TA,TA,CBlock,Gd,TA,1385,GasA,1363,0,0,1363,1,2,1,TA,5,Mod,2,Attchd,439,TA,Y,0,NA,NA,NA,0,4,2008,WD,Normal,241500
273,92,11764,Pave,NA,AllPub,CulDSac,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,Gable,CompShg,VinylSd,348,Gd,TA,PConc,Gd,TA,1152,GasA,1164,1106,0,2270,2,4,1,Gd,9,Typ,1,Attchd,671,TA,Y,0,NA,NA,NA,0,4,2010,WD,Normal,290000
274,80,9600,Pave,NA,AllPub,Inside,NAmes,Feedr,Norm,1Fam,1Story,6,6,1958,Hip,CompShg,Wd Sdng,183,TA,TA,CBlock,TA,TA,1240,GasA,1632,0,0,1632,2,3,1,TA,6,Min1,1,Attchd,338,TA,Y,0,NA,MnPrv,NA,0,4,2009,WD,Normal,139000
275,76,8314,Pave,NA,AllPub,Corner,Mitchel,Norm,Norm,1Fam,1Story,5,7,1982,Gable,CompShg,HdBoard,0,TA,TA,CBlock,TA,TA,816,GasA,816,0,0,816,1,2,1,TA,5,Typ,0,Attchd,264,TA,Y,0,NA,NA,NA,0,6,2007,WD,Normal,124500
276,55,7264,Pave,NA,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,7,7,1925,Gable,CompShg,Wd Sdng,0,Gd,Gd,BrkTil,TA,TA,952,GasW,952,596,0,1548,2,3,1,Ex,5,Typ,0,Detchd,672,TA,Y,0,NA,NA,NA,0,10,2009,WD,Normal,205000
277,129,9196,Pave,NA,AllPub,Inside,Mitchel,Norm,Norm,1Fam,1Story,7,5,2003,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Ex,TA,1560,GasA,1560,0,0,1560,2,3,1,Gd,7,Typ,0,Attchd,573,TA,Y,0,NA,NA,NA,0,4,2010,WD,Normal,201000
278,140,19138,Pave,NA,AllPub,Corner,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,Gable,CompShg,VinylSd,0,TA,TA,CBlock,TA,TA,864,GasA,864,0,0,864,1,2,1,TA,4,Typ,0,Detchd,400,TA,Y,0,NA,NA,NA,0,6,2010,WD,Normal,141000
279,107,14450,Pave,NA,AllPub,Inside,NridgHt,Norm,Norm,1Fam,1Story,9,5,2006,Gable,CompShg,CemntBd,315,Ex,TA,PConc,Ex,TA,2121,GasA,2121,0,0,2121,2,3,1,Ex,8,Typ,1,Attchd,732,TA,Y,0,NA,NA,NA,0,5,2007,New,Partial,415298
280,83,10005,Pave,NA,AllPub,Inside,ClearCr,Norm,Norm,1Fam,2Story,7,5,1977,Hip,CompShg,Plywood,299,TA,TA,CBlock,Gd,TA,1160,GasA,1156,866,0,2022,2,4,1,TA,8,Typ,1,Attchd,505,TA,Y,0,NA,NA,NA,0,3,2008,WD,Normal,192000
281,82,11287,Pave,NA,AllPub,Inside,SawyerW,Norm,Norm,1Fam,2Story,7,6,1989,Gable,CompShg,Plywood,340,Gd,TA,CBlock,Gd,TA,807,GasA,1175,807,0,1982,2,3,1,Gd,7,Typ,1,Attchd,575,TA,Y,0,NA,NA,NA,0,1,2007,WD,Normal,228500
282,60,7200,Pave,Pave,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,6,5,2006,Gable,CompShg,VinylSd,68,Gd,TA,PConc,Gd,TA,1262,GasA,1262,0,0,1262,2,2,1,Gd,5,Typ,0,Attchd,572,TA,Y,0,NA,NA,NA,0,5,2006,New,Partial,185000
283,34,5063,Pave,NA,AllPub,Inside,NridgHt,Norm,Norm,Twnhs,1Story,7,5,2007,Gable,CompShg,VinylSd,166,Gd,TA,PConc,Gd,TA,1314,GasA,1314,0,0,1314,2,2,1,Gd,6,Typ,1,Attchd,626,TA,Y,0,NA,NA,NA,0,4,2009,ConLw,Normal,207500
284,74,9612,Pave,NA,AllPub,Inside,Somerst,Feedr,Norm,1Fam,1Story,8,5,2008,Gable,CompShg,VinylSd,72,Gd,TA,PConc,Gd,TA,1468,GasA,1468,0,0,1468,2,3,1,Gd,6,Typ,1,Attchd,898,TA,Y,0,NA,NA,NA,0,12,2009,New,Partial,244600
285,50,8012,Pave,NA,AllPub,Inside,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1992,Gable,CompShg,Plywood,0,Gd,TA,PConc,Gd,TA,1575,GasA,1575,0,0,1575,2,2,1,Gd,5,Typ,0,Attchd,529,TA,Y,0,NA,NA,NA,0,7,2007,WD,Normal,179200
286,35,4251,Pave,Pave,AllPub,Inside,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2006,Gable,CompShg,MetalSd,0,Gd,TA,PConc,Gd,TA,625,GasA,625,625,0,1250,2,2,1,Gd,5,Typ,0,Detchd,528,TA,Y,0,NA,NA,NA,0,6,2007,New,Partial,164700
287,77,9786,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1.5Fin,6,7,1962,Gable,CompShg,Wd Sdng,0,TA,TA,CBlock,TA,TA,912,GasA,1085,649,0,1734,1,3,1,Gd,7,Typ,1,Attchd,440,TA,Y,0,NA,GdPrv,NA,0,6,2006,WD,Normal,159000
288,NA,8125,Pave,NA,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,4,4,1971,Gable,CompShg,HdBoard,0,TA,TA,CBlock,TA,TA,858,GasA,858,0,0,858,1,3,1,TA,5,Typ,0,NA,0,NA,Y,0,NA,NA,NA,0,6,2006,WD,Normal,88000
289,NA,9819,Pave,NA,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,1967,Gable,CompShg,MetalSd,31,TA,Gd,CBlock,TA,TA,882,GasA,900,0,0,900,1,3,1,TA,5,Typ,0,Detchd,280,TA,Y,0,NA,MnPrv,NA,0,2,2010,WD,Normal,122000
290,60,8730,Pave,NA,AllPub,Inside,BrkSide,RRAn,Norm,1Fam,2Story,6,7,1915,Gable,CompShg,Wd Sdng,0,TA,TA,BrkTil,TA,TA,698,GasA,698,698,0,1396,1,3,1,TA,7,Typ,0,Detchd,384,TA,Y,0,NA,NA,NA,0,7,2007,WD,Normal,153575
291,120,15611,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,8,5,2006,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Gd,TA,1079,GasA,1079,840,0,1919,2,3,1,Gd,8,Typ,1,Attchd,685,TA,Y,0,NA,NA,NA,0,7,2006,New,Partial,233230
292,55,5687,Pave,Grvl,AllPub,Inside,SWISU,Norm,Norm,2fmCon,2Story,5,6,1912,Gable,CompShg,VinylSd,0,TA,Fa,PConc,TA,Fa,780,GasA,936,780,0,1716,2,6,1,Fa,9,Typ,0,NA,0,NA,N,0,NA,NA,NA,0,3,2008,WD,Normal,135900
293,60,11409,Pave,NA,AllPub,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1949,Gable,CompShg,Wd Sdng,0,TA,TA,CBlock,TA,TA,768,GasA,1148,568,0,1716,1,3,1,TA,8,Min2,1,Attchd,281,TA,Y,0,NA,NA,NA,0,1,2009,WD,Normal,131000
294,NA,16659,Pave,NA,AllPub,Corner,NWAmes,PosA,Norm,1Fam,2Story,7,7,1977,Gable,CompShg,Plywood,34,TA,TA,CBlock,TA,TA,795,GasA,1468,795,0,2263,2,3,1,Gd,9,Typ,1,Attchd,539,TA,Y,0,NA,NA,NA,0,3,2006,WD,Normal,235000
295,80,9600,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,1953,Hip,CompShg,HdBoard,238,TA,TA,CBlock,TA,TA,1416,GasA,1644,0,0,1644,1,3,1,TA,7,Typ,2,Attchd,418,TA,Y,0,NA,NA,NA,0,10,2009,WD,Normal,167000
296,37,7937,Pave,NA,AllPub,CulDSac,Mitchel,Norm,Norm,1Fam,SLvl,6,6,1984,Gable,CompShg,HdBoard,0,TA,TA,CBlock,TA,TA,1003,GasA,1003,0,0,1003,1,3,1,TA,6,Typ,0,Detchd,588,TA,Y,0,NA,GdPrv,NA,0,3,2006,WD,Normal,142500
297,75,13710,Pave,NA,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,5,1950,Gable,CompShg,Wd Sdng,0,TA,TA,CBlock,TA,TA,910,GasA,910,648,0,1558,1,4,1,TA,6,Typ,0,Attchd,282,TA,Y,0,NA,MnPrv,NA,0,6,2007,WD,Normal,152000
298,66,7399,Pave,Pave,AllPub,Inside,Somerst,Norm,Norm,1Fam,2Story,7,5,1997,Hip,CompShg,VinylSd,1600,Gd,TA,PConc,Gd,TA,975,GasA,975,975,0,1950,2,3,1,Gd,7,Typ,1,Detchd,576,TA,Y,0,NA,NA,NA,0,6,2007,WD,Normal,239000
299,90,11700,Pave,NA,AllPub,Inside,NWAmes,Norm,Norm,1Fam,2Story,6,6,1968,Mansard,CompShg,HdBoard,365,Gd,TA,CBlock,TA,TA,702,GasA,1041,702,0,1743,1,3,1,TA,7,Typ,1,Attchd,539,TA,Y,0,NA,NA,NA,0,6,2007,WD,Normal,175000
300,80,14000,Pave,NA,AllPub,Inside,Crawfor,Norm,Norm,1Fam,1Story,6,8,1950,Gable,CompShg,HdBoard,0,TA,Gd,CBlock,TA,TA,1092,GasA,1152,0,0,1152,1,3,1,Gd,6,Typ,1,Attchd,300,TA,Y,0,NA,GdPrv,NA,0,8,2009,WD,Family,158500
301,90,15750,Pave,NA,AllPub,Corner,Crawfor,Norm,Norm,2fmCon,1Story,5,5,1953,Hip,CompShg,MetalSd,56,TA,TA,CBlock,TA,TA,1165,GasA,1336,0,0,1336,1,2,1,TA,5,Typ,2,Attchd,375,TA,Y,0,NA,NA,NA,0,6,2006,WD,Normal,157000
302,66,16226,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,8,5,1998,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Gd,TA,1028,GasA,1210,1242,0,2452,2,4,1,Gd,9,Typ,1,BuiltIn,683,TA,Y,0,NA,NA,NA,0,5,2007,WD,Normal,267000
303,118,13704,Pave,NA,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,Gable,CompShg,VinylSd,150,Gd,TA,PConc,Gd,TA,1541,GasA,1541,0,0,1541,2,3,1,Gd,6,Typ,1,Attchd,843,TA,Y,0,NA,NA,NA,0,1,2006,WD,Normal,205000
304,70,9800,Pave,NA,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,Gable,CompShg,VinylSd,0,TA,TA,PConc,TA,TA,894,GasA,894,0,0,894,1,3,1,TA,5,Typ,0,Attchd,552,TA,Y,0,NA,GdWo,NA,0,7,2006,WD,Abnorml,149900
305,87,18386,Pave,NA,AllPub,Inside,OldTown,Norm,Norm,1Fam,2.5Fin,7,9,1880,Gable,CompShg,CemntBd,0,TA,TA,BrkTil,TA,TA,1470,GasA,1675,1818,0,3493,3,3,1,Gd,10,Typ,1,Attchd,870,TA,Y,0,NA,NA,NA,0,5,2008,WD,Normal,295000
306,80,10386,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,5,2004,Gable,CompShg,CemntBd,246,Gd,TA,PConc,Gd,TA,2000,GasA,2000,0,0,2000,2,3,1,Gd,8,Typ,0,Attchd,888,TA,Y,0,NA,NA,NA,0,7,2007,WD,Normal,305900
